,Track_ID,Track_Name,Artist_Name,Artist_ID,Artist_followers,Artist_genres,Artist_popularity
191,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
192,43rA71bccXFGD4C8GOpIlN,I Forgot That You Existed,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
193,4y5bvROuBDPr5fuwXbIBZR,Paper Rings,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
194,214nt20w5wOxJnY462klLw,Miss Americana & The Heartbreak Prince,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
195,2YWtcWi3a83pdEg3Gif4Pd,I Think He Knows,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
196,12M5uqx0ZuwkpLp5rJim1a,Cornelia Street,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
197,3pHkh7d0lzM2AldUtz2x37,The Archer,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
198,1LLXZFeAHK9R4xUramtUKw,London Boy,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
199,2dgFqt3w9xIQRjhPtwNk3D,Death By A Thousand Cuts,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
200,1SymEzIT3H8UZfibCs3TYi,Afterglow,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
201,5hQSXkFgbxjZo9uCwd11so,False God,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
202,3jbT1Y5MoPwEIpZndDDwVq,Adicto (with Anuel AA & Ozuna),Tainy,0GM7qgcRCORpGnfcN2tCiB,43408,['pop reggaeton'],86
203,4AYtqFyFbX0Xkc2wtcygTr,Soon You’ll Get Better (feat. Dixie Chicks),Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
204,1JRK7srBWUtAW7dPabKBwJ,Teeth,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,5447385,"['boy band', 'dance pop', 'pop', 'post-teen pop']",87
205,1fzAuUVbzlhZ1lJAx9PtY6,Daylight,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
206,1SmiQ65iSAbPto6gPFlBYm,It’s Nice To Have A Friend,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
207,3drwaFqLSEjqzjNRbjap0R,Nummer 1,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,2814424,['german hip hop'],87
208,69M9QCMsCQ5MLsw7BBW0rL,Hi Roller,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,7279468,"['melodic rap', 'philly rap', 'pop rap', 'rap', 'trap']",89
209,694vvR5o19xHPhhJ5QdLN7,NO HALO,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,1067644,"['boy band', 'hip hop', 'pop rap', 'rap']",82
210,7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,2cFrymmkijnjDg9SS92EPM,2563711,"['pop', 'pop rap']",90
211,7MtVPRGtZl6rPjMfLoI3Lh,Fuck it I love you,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,9418027,"['art pop', 'pop']",89
212,3707IBa4HnS3zDDoWfeUBl,I Warned Myself,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,8609224,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",84
214,1AI7UPw3fgwAFkvAlZWhE0,Take Me Back to London (feat. Stormzy),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,54933328,"['pop', 'uk pop']",97
216,1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
218,7BlBVFwvbWvcwNcUarQmjk,"Yo x Ti, Tu x Mi",ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,1885321,['r&b en espanol'],85
219,44ADyYoY5liaRa3EOAl4uf,Slide Away,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,10373712,"['dance pop', 'pop', 'post-teen pop']",87
220,0rIAC4PXANcKmitJfoqmVm,Motivation,Normani,2cWZOOzeOm4WmBJRnD5R7I,621653,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",83
221,1GeNui6m825V8jP4uKiIaH,Bad Bad Bad (feat. Lil Baby),Young Thug,50co4Is1HCEo8bhOyUWKpn,4591980,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",93
222,5MPPttjfGap2C6j6eKcO6J,Baby (Lil Baby feat. DaBaby),Quality Control,6i392l38cR3uBPF0DbNs7S,461075,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",81
223,2sqsNXfN0HtgDEgaHXiUTa,Won't Be Late (feat. Drake),Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,531272,['trap'],88
224,3Yh9lZcWyKrK9GjbhuS0hR,Good as Hell,Lizzo,56oDRnqbIiwx4mymNEv7dS,1554987,"['escape room', 'minnesota hip hop', 'pop', 'pop rap', 'trap queen']",88
225,2WsuSYJNXGKXVYkHPnq2yp,Ransom (with Juice WRLD) - Remix,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,1175953,['melodic rap'],89
226,5Z8HZM6iQMhhqyPcCGY5g9,Hot (feat. Gunna),Young Thug,50co4Is1HCEo8bhOyUWKpn,4591980,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",93
227,2S93hylQBYLndMnaJuso8S,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",Bizarrap,716NhGYqD1jl2wI1Qkgq36,433187,"['argentine hip hop', 'trap argentino']",82
229,4guBZjUyrGoHsTahO3IHdj,Did It Again,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,1175953,['melodic rap'],89
230,6igOR5QCn09zAVF2ikZjsV,Surf (feat. Gunna),Young Thug,50co4Is1HCEo8bhOyUWKpn,4591980,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",93
231,3pTScODwk9tggZzmuH6xDY,What's the Move (feat. Lil Uzi Vert),Young Thug,50co4Is1HCEo8bhOyUWKpn,4591980,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",93
232,4oPnxZzoc8HM5Pva4FDeIp,Te Soñé de Nuevo,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,20329848,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",98
