,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
24,0.642,0.683,1,-5.386,1,0.262,0.0834,0.0,0.155,0.584,154.881,0.683,5C0ivQMxes2lWuOANhvVAm,spotify:track:5C0ivQMxes2lWuOANhvVAm,https://api.spotify.com/v1/tracks/5C0ivQMxes2lWuOANhvVAm,https://api.spotify.com/v1/audio-analysis/5C0ivQMxes2lWuOANhvVAm,191720,4
25,0.584,0.643,2,-6.415,1,0.0395,0.288,0.0,0.186,0.53,90.036,0.643,2a3dopgTF1q4rMVDJ1rwBU,spotify:track:2a3dopgTF1q4rMVDJ1rwBU,https://api.spotify.com/v1/tracks/2a3dopgTF1q4rMVDJ1rwBU,https://api.spotify.com/v1/audio-analysis/2a3dopgTF1q4rMVDJ1rwBU,181844,4
26,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,0.473,2kJwzbxV2ppxnQoYw4GLBZ,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,https://api.spotify.com/v1/tracks/2kJwzbxV2ppxnQoYw4GLBZ,https://api.spotify.com/v1/audio-analysis/2kJwzbxV2ppxnQoYw4GLBZ,208687,4
27,0.757,0.618,11,-7.964,0,0.0282,0.262,0.0,0.221,0.861,106.856,0.618,6wn2nmFn3wDuiMldRiuRuL,spotify:track:6wn2nmFn3wDuiMldRiuRuL,https://api.spotify.com/v1/tracks/6wn2nmFn3wDuiMldRiuRuL,https://api.spotify.com/v1/audio-analysis/6wn2nmFn3wDuiMldRiuRuL,267160,4
28,0.826,0.816,1,-4.608,0,0.0683,0.0201,0.000939,0.127,0.598,96.042,0.816,0dDboLfmRNsTBscy4j3Rnl,spotify:track:0dDboLfmRNsTBscy4j3Rnl,https://api.spotify.com/v1/tracks/0dDboLfmRNsTBscy4j3Rnl,https://api.spotify.com/v1/audio-analysis/0dDboLfmRNsTBscy4j3Rnl,188480,4
29,0.737,0.828,11,-4.711,1,0.0396,0.0149,0.000583,0.0862,0.517,124.052,0.828,0qaWEvPkts34WF68r8Dzx9,spotify:track:0qaWEvPkts34WF68r8Dzx9,https://api.spotify.com/v1/tracks/0qaWEvPkts34WF68r8Dzx9,https://api.spotify.com/v1/audio-analysis/0qaWEvPkts34WF68r8Dzx9,208474,4
30,0.728,0.542,0,-5.195,1,0.0514,0.259,0.0,0.136,0.637,90.016,0.542,1cVlW9WQiGlFdWUXFdFZGh,spotify:track:1cVlW9WQiGlFdWUXFdFZGh,https://api.spotify.com/v1/tracks/1cVlW9WQiGlFdWUXFdFZGh,https://api.spotify.com/v1/audio-analysis/1cVlW9WQiGlFdWUXFdFZGh,227234,3
31,0.493,0.13,4,-18.725,1,0.0369,0.898,0.0223,0.0941,0.119,109.852,0.13,1Av69kr9JitqPWo7WJLS5q,spotify:track:1Av69kr9JitqPWo7WJLS5q,https://api.spotify.com/v1/tracks/1Av69kr9JitqPWo7WJLS5q,https://api.spotify.com/v1/audio-analysis/1Av69kr9JitqPWo7WJLS5q,187899,4
32,0.786,0.658,0,-2.61,1,0.0661,0.0856,0.0,0.0689,0.458,170.037,0.658,7qvsl2pYzrsYgPeFBN5jxp,spotify:track:7qvsl2pYzrsYgPeFBN5jxp,https://api.spotify.com/v1/tracks/7qvsl2pYzrsYgPeFBN5jxp,https://api.spotify.com/v1/audio-analysis/7qvsl2pYzrsYgPeFBN5jxp,202333,4
33,0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162,0.83,2Rk4JlNc2TPmZe2af99d45,spotify:track:2Rk4JlNc2TPmZe2af99d45,https://api.spotify.com/v1/tracks/2Rk4JlNc2TPmZe2af99d45,https://api.spotify.com/v1/audio-analysis/2Rk4JlNc2TPmZe2af99d45,193000,4
